Field Name,Field Area (hectare),Field Area (acre)
John Bishop Field 3,3.09,7.64
John Bishop Field 2,2.93,7.24
John Bishop Field 1,2.09,5.16
Westcott Hay Field,3.28,8.11
Westcott Reseed 1,1.54,3.81
Westcott Reseed 2,2.13,5.26
Wet Strip,0.73,1.8
Westcott up over brook,6.45,15.94
Westcott Field 2,2.67,6.6
Westcott Field 1,3.69,9.12
Pollardine Driveside - Forestry Part,1.84,4.55
Pollardine Driveside 2/3,5.04,12.45
Pollardine Driveside 1,1.97,4.87
Pollardine Driveside (was wet area),2.55,6.3
Little Field,1.88,4.65
Behind Pollardine,5.14,12.7
Lower paddock behind buildings,0.43,1.06
Top paddock behind buildings,0.17,0.42
Pollardine Hay Field,2.22,5.49
Triangle woodland in Hay Field,0.37,0.91
Hoggs Field cover crop,1.03,2.55
Hoggs Field,5.85,14.46
Back Lane Field cover crop,2.37,5.86
Back Lane Field,5.95,14.7
Sloping Paddock,0.18,0.44
Run up,0.09,0.22
Goose's Neck cover crop,1.38,3.41
Goose's Neck,6.31,15.59
Big Bottom Field,6.08,15.02
Rams Field,1.81,4.47
Cuckoo Meadow,2.15,5.31
Gatten Pool Field,1.34,3.31
Square Field,3.26,8.06
Triplets Field,4.42,10.92
Pollardine Pool Field,3.54,8.75
Driveside,3.09,7.64
25 Acres,7.03,17.37
25 Acres cover crop,2.79,6.89
Steep Banks,7.6,18.78
Elm Field cover crop,2.36,5.83
Elm Field,7.03,17.37
Back of the Elm Field,4.6,11.37
Valley Field,7.42,18.34
Paulith,26.02,64.3
Paulith (sloping field),3.82,9.44
Paulith (2nd Field),1.34,3.31
Paulith (by public road),1.84,4.55
Paulith (was cover crop),1.31,3.24
Paulith (cover crop),1.75,4.32
By Water Supply,1,2.47
